3.363,-0.18,-0.04,-0.02
3.365,-0.12,-0.04,-0.02
3.37,-0.05,-0.04,-0.02
3.375,0.01,-0.03,-0.03
3.386,0.07,-0.03,-0.03
3.387,0.13,-0.03,-0.03
3.389,0.18,-0.04,-0.04
3.394,0.23,-0.04,-0.04
3.406,0.27,-0.05,-0.05
3.407,0.3,-0.06,-0.05
3.409,0.32,-0.06,-0.05
3.424,0.33,-0.06,-0.05
3.426,0.33,-0.05,-0.05
3.428,0.32,-0.04,-0.04
3.434,0.3,-0.02,-0.04
3.435,0.28,-0.01,-0.04
3.438,0.26,-0.01,-0.03
3.443,0.24,0,-0.02
3.45,0.22,0,-0.02
3.463,0.19,-0.01,-0.02
3.464,0.17,-0.03,-0.03
3.465,0.15,-0.04,-0.03
3.468,0.13,-0.05,-0.04
3.472,0.12,-0.07,-0.04
3.477,0.1,-0.09,-0.04
3.486,0.1,-0.11,-0.05
3.488,0.1,-0.12,-0.05
3.492,0.09,-0.12,-0.05
3.507,0.09,-0.11,-0.04
3.509,0.09,-0.09,-0.03
3.51,0.08,-0.08,-0.03
3.512,0.07,-0.08,-0.02
3.528,0.06,-0.08,-0.02
3.529,0.06,-0.08,-0.01
3.53,0.06,-0.09,-0.01
3.536,0.06,-0.09,0
3.537,0.07,-0.09,0.01
3.541,0.09,-0.1,0.01
3.554,0.12,-0.1,0.02
3.555,0.15,-0.11,0.02
3.557,0.19,-0.11,0.02
3.562,0.24,-0.11,0.03
3.575,0.28,-0.11,0.04
3.577,0.34,-0.12,0.04
3.579,0.39,-0.13,0.04
3.583,0.46,-0.14,0.05
3.586,0.53,-0.16,0.06
3.59,0.61,-0.19,0.06
3.605,0.69,-0.22,0.07
3.606,0.78,-0.23,0.08
3.608,0.87,-0.25,0.09
3.61,0.99,-0.26,0.11
3.627,1.11,-0.28,0.13
3.629,1.25,-0.32,0.14
3.631,1.4,-0.36,0.16
3.632,1.56,-0.41,0.18
3.637,1.72,-0.46,0.21
3.641,1.89,-0.49,0.24
3.645,2.08,-0.52,0.27
3.656,2.28,-0.56,0.3
3.658,2.48,-0.59,0.33
3.659,2.7,-0.64,0.36
3.675,2.92,-0.68,0.39
3.676,3.15,-0.72,0.41
3.678,3.38,-0.75,0.44
3.685,3.62,-0.78,0.46
3.686,3.86,-0.81,0.47
3.689,4.1,-0.83,0.48
3.694,4.35,-0.84,0.49
3.705,4.58,-0.85,0.49
3.707,4.79,-0.82,0.48
3.709,4.99,-0.78,0.48
3.726,5.15,-0.76,0.49
3.728,5.29,-0.74,0.5
3.729,5.39,-0.73,0.52
3.736,5.46,-0.7,0.52
3.737,5.48,-0.67,0.51
3.739,5.46,-0.64,0.5
3.743,5.41,-0.64,0.51
3.756,5.33,-0.65,0.52
3.758,5.22,-0.64,0.52
3.759,5.08,-0.62,0.52
3.778,4.9,-0.59,0.5
3.779,4.71,-0.54,0.47
3.781,4.52,-0.53,0.44
3.782,4.32,-0.53,0.41
3.784,4.12,-0.53,0.36
3.789,3.94,-0.51,0.31
3.793,3.76,-0.48,0.25
3.806,3.58,-0.42,0.2
3.808,3.4,-0.36,0.15
3.809,3.21,-0.3,0.11
3.813,3.02,-0.25,0.08
3.829,2.85,-0.22,0.05
3.831,2.68,-0.2,0.02
3.832,2.51,-0.18,-0.01
3.833,2.35,-0.16,-0.03
3.837,2.19,-0.14,-0.05
3.842,2.05,-0.12,-0.07
3.849,1.91,-0.1,-0.08
3.852,1.78,-0.1,-0.09
3.857,1.65,-0.09,-0.09
3.861,1.52,-0.07,-0.08
3.872,1.39,-0.06,-0.07
3.873,1.27,-0.07,-0.06
3.876,1.15,-0.08,-0.05
3.897,1.03,-0.08,-0.04
3.899,0.92,-0.07,-0.02
3.9,0.82,-0.06,-0.01
3.901,0.73,-0.03,-0.01
3.903,0.64,-0.01,-0.01
3.906,0.55,0.01,-0.01
3.912,0.47,0.04,-0.01
3.92,0.38,0.06,-0.02
3.922,0.3,0.07,-0.02
3.926,0.22,0.07,-0.02
3.941,0.14,0.07,-0.02
3.942,0.07,0.06,-0.01
3.948,0,0.05,0
3.949,-0.08,0.04,0
3.95,-0.15,0.04,0
3.961,-0.21,0.04,-0.01
3.963,-0.28,0.06,-0.01
3.965,-0.34,0.08,0
3.97,-0.4,0.1,-0.01
3.975,-0.46,0.11,-0.02
3.98,-0.51,0.12,-0.03
